ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Year,Half,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,E_Dummy,S_Dummy,G_Dummy
SMP,US8536661056,US,2019,H1,2.7000000000000006,4.6,4.716666666666667,5.100387602415755,843.132,1092.051,375.931,43.003,0,1,1
SMP,US8536661056,US,2019,H2,2.6333333333333333,4.6,5.983333333333333,6.345469087243763,912.73,1137.913,408.502,57.917,0,1,1
SMP,US8536661056,US,2020,H1,2.5,4.6,5.716666666666668,6.345469087243763,912.73,1137.913,408.502,57.917,0,1,1
SMP,US8536661056,US,2020,H2,2.433333333333333,4.633333333333333,5.3999999999999995,6.00006272607523,956.54,1128.588,406.304,57.393,0,1,1
SMP,US8536661056,US,2021,H1,2.3,4.7,4.8,6.00006272607523,956.54,1128.588,406.304,57.393,0,1,1
SMP,US8536661056,US,2021,H2,2.25,4.95,4.7,7.5867244426154095,1197.961,1298.816,585.334,90.886,0,1,1
SMP,US8536661056,US,2022,H1,2.2,4.366666666666667,4.933333333333333,7.5867244426154095,1197.961,1298.816,585.334,90.886,0,1,1
SMP,US8536661056,US,2022,H2,2.2,3.266666666666666,5.1000000000000005,4.410687775961827,1254.929,1371.815,633.891,55.351,0,0,1
SMP,US8536661056,US,2023,H1,2.2,3.75,3.5,4.410687775961827,1254.929,1371.815,633.891,55.351,0,1,0
SMP,US8536661056,US,2023,H2,2.2,4.2,5.7,2.6408939504905855,1293.047,1358.272,642.174,34.148,0,1,1
